Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure
Thu Jun 10 14:37:44 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:47 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:50 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:53 2021,14,0,0,0,0,0,82,11.5
Thu Jun 10 14:37:56 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:37:59 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:05 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:08 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:11 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:14 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:17 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:20 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:23 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:26 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:29 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:32 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:35 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:38 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:41 2021,14,0,0,0,0,0,81,11.5
Thu Jun 10 14:38:44 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:38:50 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:38:53 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:38:56 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:38:59 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:02 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:05 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:08 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:11 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:14 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:17 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:20 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:23 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:26 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:29 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:32 2021,14,0,0,0,0,0,80,11.5
Thu Jun 10 14:39:35 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:38 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:41 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:44 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:47 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:50 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:53 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:56 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:39:59 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:02 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:05 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:08 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:11 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:14 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:20 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:23 2021,14,0,0,0,0,0,79,11.5
Thu Jun 10 14:40:26 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:29 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:32 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:35 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:38 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:41 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:44 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:47 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:50 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:53 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:56 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:40:59 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:41:05 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:41:08 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:41:11 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:41:14 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:41:17 2021,14,0,0,0,0,0,78,11.5
Thu Jun 10 14:41:20 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:23 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:26 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:29 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:32 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:35 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:38 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:41 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:44 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:50 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:53 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:56 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:41:59 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:42:02 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:42:05 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:42:08 2021,14,0,0,0,0,0,77,11.5
Thu Jun 10 14:42:11 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:14 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:17 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:20 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:23 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:26 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:29 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:32 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:35 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:38 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:41 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:44 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:47 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:50 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:53 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:56 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:42:59 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:43:02 2021,14,0,0,0,0,0,76,11.5
Thu Jun 10 14:43:05 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:08 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:11 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:14 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:20 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:23 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:26 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:29 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:32 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:35 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:38 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:41 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:44 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:47 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:50 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:53 2021,14,0,0,0,0,0,75,11.5
Thu Jun 10 14:43:56 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:43:59 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:05 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:08 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:11 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:14 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:17 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:20 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:23 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:26 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:29 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:32 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:35 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:38 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:41 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:44 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:47 2021,14,0,0,0,0,0,74,11.5
Thu Jun 10 14:44:50 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:44:53 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:44:56 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:44:59 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:02 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:05 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:08 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:11 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:14 2021,14,0,0,0,0,0,73,11.5
Thu Jun 10 14:45:17 2021,14,0,0,0,0,0,73,11.5
