Wed May 26 13:58:38 2021,>575,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:39 2021,>576,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:40 2021,>577,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:41 2021,>578,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:42 2021,>579,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:43 2021,>580,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:44 2021,>581,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:45 2021,>582,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:46 2021,>583,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:47 2021,>584,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:48 2021,>585,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:49 2021,>586,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:50 2021,>587,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:51 2021,>588,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:52 2021,>589,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:53 2021,>590,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:54 2021,>591,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:55 2021,>592,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:56 2021,>593,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:57 2021,>594,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:58 2021,>595,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:58:59 2021,>596,50100,1,00051,T,_NV,FMS1NSNS,00051,
Wed May 26 13:59:00 2021,>597,50100,1,00051,T,_NV,FMS1NSNS,00051,
